thickness,count
0,6590
18,5010
19,5010
37,3770
39,3750
47,3370
47,3370
56,2830
57,2830
65,2520
66,2480
75,2080
94,1630
95,1610
96,1620
97,1660
104,1340
112,1160
113,1220
114,1200
115,1180
122,942.6
142,742
161,475.4
170,368.8
182,316
191,277.2
191,257.6
193,284.4
210,170.2
212,175.8
229,98.6
237,83.8
238,91.2
241,86.8
256,49
275,27.2
290,20.6
290,23.6
309,10
338,8.8
354,11
373,7.2
385,5
387,4
392,5
401,5.5
406,6.2
411,6.2
448,5.8
467,5.2
482,4.4
577,4.6
624,4.8
